Street Address	Business Start Date	Location Start Date	DBA Name
88 Collins P Kelley Jr. St Fl 2	2019-02-14	2019-02-14	Oh My Green@Github
1312 Chestnut St	2018-10-01	2018-10-01	Chestnut Diner
428 11th St	2019-04-24	2019-04-24	California Garlic Noodles
236 Townsend St	2018-10-01	2018-10-29	Cafe Okawari
1903 18th Ave	2016-08-01	2017-11-27	Casera
3251 20th Ave #250 J	2019-01-18	2019-01-18	Glo-Wing
39 Pier Space K-01	2018-08-22	2018-08-22	The Churro Factory
489 3rd St	2019-10-21	2020-02-28	Roma's
1 Ferry Building 21	2017-10-01	2019-11-21	Daily Driver
578 Market St	2016-05-09	2017-12-11	Cafe X
4678 Stratford Ave	2016-07-01	2016-07-01	Pete's Deli Cafe/Bay State Market
138 Minna Street	2016-04-25	2016-04-29	Takoba SF
601 N Mission Bay Blvd	2016-03-16	2017-09-01	Crepes S'il Vous Plait
1203 23rd Ave	2017-08-12	2017-08-12	Eventide Coffee Roasters
1028 Mission St	2016-06-21	2016-06-21	Rtr Group Of Holdings Inc
101 Montgomery St Ste C	2017-09-21	2017-09-21	Coffee Bar
5800 Geary St	2018-02-01	2018-02-15	Amara
1155 Taraval St	2019-08-30	2024-05-01	Stix
314 Church St	2016-03-03	2016-03-03	Poke Bar
801 Market St	2019-02-06	2019-02-06	Chilifruit
1725 Haight St	2018-04-02	2018-04-02	Alembic, SF
2341 Folsom St	2018-10-15	2019-04-29	Chuy's Fiestas Restaurant
1131 Taraval St	2016-10-26	2016-10-26	El Antigua Cafe Corporation
90 Charter Oak Ave	2017-10-30	2020-08-11	Pollo Campero
3318 Fillmore St	2019-04-28	2022-10-31	Wilder
4 Embarcadero Center Street Revel Ctr	2018-04-20	2018-04-20	Stone Korean Kitchen
700 Greenwich St	2018-02-25	2025-01-08	Portside Bakery
605 Kearny St	2016-05-27	2016-05-27	Ohana Poke And Salad Bar
3560 18th St	2018-11-07	2022-01-01	3560 18th Street, San Francisco Ca 94110
3282 Mission St	2017-09-08	2017-09-08	Rakiraki Ramen
3853 24th St	2017-12-01	2017-12-01	Hi-Way
1 Ferry Building	2018-10-05	2022-01-06	Saltwater Bakeshop
125 Kearney St	2017-05-25	2017-06-29	Rooster & Rice IIi, LLC
59 30th St	2019-02-26	2019-02-26	Shish Ke Baba
1511 Jackson St Apt 1	2018-01-08	2018-01-08	Fahhq
1760 Cesar Chavez Unit L	2017-11-06	2018-07-16	Xd LLC / Boba Pink
1233 Van Ness Ave	2016-09-30	2016-09-30	El Parce
3560 Taraval St	2019-07-05	2019-07-05	Boavida
205 Oak St	2018-11-01	2018-11-01	Otoro
1355 Market St Unit 100	2016-10-24	2016-10-24	Manila Bowl
1 Market St 3se / 3n	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
1381 Florida St	2017-01-01	2017-06-01	Shuck Truck
531 Divisadero St	2016-03-30	2016-06-01	Souvla
475 6th St	2016-02-23	2019-09-25	Coast Poke Counter
415 Mission St Fl 23/24	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
420 Judah St	2017-08-01	2018-03-30	Alice Chinese Bistro
888 Innes Avenue	2019-02-28	2019-02-28	Cafe Alma
350 Friedell St Apt 305	2019-01-10	2019-01-10	Lerso
1355 Market St Ste 100	2019-03-25	2022-03-01	Cabalen Mb Food Group LLC
3463 16th St	2016-07-11	2016-07-18	Sofia Cafe
24 Willie Mays Plaza Plz	2018-03-09	2018-03-09	C & C Concessions
1199 Church St	2018-09-11	2018-09-11	Noe's Cantina Inc
450 Post 3rd Fl.	2017-05-02	2020-03-01	Pop Ups Unlimited
2565 Third St Unit 316	2019-10-17	2019-10-17	Gourmonade
468 Castro St	2019-06-10	2019-09-01	Bhoga
303 2nd Street	2017-09-28	2018-03-19	Joe & The Juice
1910 Fillmore St	2017-04-19	2018-07-01	Samovar Tea Lounge
1722 Bay St	2019-07-26	2019-07-26	Teazzert Pho You
4827 Mission St	2017-01-10	2017-01-10	Hawaiian Drive Inn #28
1566 Carroll Ave	2017-08-29	2017-08-29	Meat By Pete
5600 3rd Street 233	2018-08-13	2018-08-13	The Vegan Hood Chefs LLC
400 Eddy St	2016-05-04	2016-05-04	Black Cat
611 Post St	2018-12-01	2018-12-01	Joy's Place
1820 Clement St	2018-02-22	2018-02-22	Ace King Bbq
32 6th St	2019-01-01	2019-04-04	Modena Pizza & Ice Cream
1735 22nd Ave	2018-09-17	2018-09-17	Src Food Delivery
1350 Solano Ave Ave Apt 1	2019-10-07	2019-10-07	Family Kitchen
3325 24th St	2018-05-26	2018-05-26	Mission Coffee
10 Fishermans Wharf	2018-07-17	2018-07-17	Zeppelin Seafood
1230 Market St	2016-05-17	2025-02-07	Haru By Sams
383 Gellert Blvd	2018-10-01	2018-10-01	Moonstar Buffet Restaurant
301 Mission St Apt 7f	2019-10-14	2019-10-14	Shabakes
303 2nd Street Plz	2016-08-31	2016-08-31	Rooster & Rice Too, LLC
2291 3rd St	2018-06-08	2018-06-08	Happy Cow Creamery & Tea
101 Broadway	2019-06-08	2020-07-10	Poppy Bagels
2356 Palo Verde Ave	2017-03-24	2017-03-24	Cielito Lindo Msk
670 Monterey Blvd Apt 7	2018-07-01	2018-07-01	Frank Grizzly's
174 Coleridge Green	2018-05-17	2018-05-17	3 Bottled Fish
39 Pier D-13	2017-07-01	2017-11-16	Doughp
2419 3rd St	2018-09-19	2018-09-19	Ungrafted
2389 Mission St	2018-08-17	2018-08-17	Boom Chicka Cow
475 6th St	2019-04-01	2019-04-01	Cooklines Inc.
1201 4th St	2019-09-13	2021-12-16	Insomnia Cookies
1919 Ocean Ave	2016-06-21	2016-06-21	Joyful Yummy, Inc
601 Grant Ave	2018-04-25	2018-08-10	Wok + Steam
700 Grant Ave	2018-05-24	2018-05-24	Goood Fortune LLC.
3092 16th St	2019-05-30	2019-05-30	Farming Hope
2184 Union Street	2018-06-20	2018-06-20	Little Gem
9 Cielito Dr	2019-01-28	2019-01-28	Aj Corn
199 New Montgomery St A	2017-01-30	2017-01-30	District Coffee
4036 Balboa Street	2019-11-08	2019-11-08	Ej Sushi
3608 Balboa St	2019-03-14	2019-03-14	Uncle Lee Cafe
2331 Mission St	2017-05-01	2017-05-01	Cease & Desist
3233 E 22nd Street St	2019-07-04	2019-07-04	Hsb/Hot Sauce Brand
1 Warriors Way	2019-09-20	2019-09-20	Candlestick Pizza
2240 Chestnut St	2018-12-12	2018-12-12	Elemental Poke
74 Crestline Dr Apt 6	2016-07-01	2017-04-15	Crystal Pyramid LLC
66 Corwin St Apt 5	2016-12-30	2016-12-30	Good Moods LLC
845 Malcolm Rd Ste 3	2016-04-25	2016-04-25	Bevi
1223 Kearny 1	2017-06-18	2017-06-18	Lena's Backstube
393 Eddy St	2018-02-05	2018-02-28	Aladdin Kitchen
425 Battery St	2017-10-07	2017-10-07	Subway Sandwiches #61240
315 Culet Dr	2018-01-01	2018-01-01	Poke Bar
1919 Irving St	2018-09-18	2018-09-18	Oh Dessert Cafe
2948 Folsom St	2016-08-11	2016-08-11	El Meson De Violeta
325 Mason St #10	2017-07-02	2017-08-02	L And O Bagels
640 Hayes St	2019-07-16	2019-07-16	Praetza
65 Cambon Dr	2016-05-10	2016-05-10	Poke Kana
1379 4th St	2018-02-14	2018-05-02	Parklab Gardens
1400 7th Street St Ste 900	2017-08-24	2017-08-24	Purely Mediterranean Inc
2250 Irving St	2017-09-01	2017-09-01	Wonder Tea LLC
3193 Mission St	2018-10-01	2018-10-01	Cellarmaker House Of Pizza
700 36th Ave	2018-02-01	2018-03-14	Taste Of Fusion Kitchen
500 Marina Blvd	2016-08-31	2022-05-01	Cochinita
2778 24th St	2017-10-17	2017-10-17	Pastry Room
91 6th St	2017-07-01	2017-07-01	Jenny's Restaurant
3560 18th St	2016-07-01	2016-07-01	Farina Food Service
1474 Innes Ave	2016-07-07	2016-07-07	Cafe De La Diaspora
865 Market St Unit 146	2016-06-14	2016-06-14	Mission Heirloom
1581 Webster St Ste 195	2019-05-02	2024-04-02	Kissako Tea
3224 22nd St	2018-09-06	2018-09-06	Pushcart Fare
908 Ohio Ave	2016-02-06	2016-02-06	Night & Day Productions
1015 Fell St Apt B	2017-07-27	2017-07-27	Baja Stop
960 Grant Ave	2018-08-24	2018-08-24	Hong Kong Clay Pot Restaurant
816 Irving St	2019-09-17	2019-09-17	Qingshu
425 Mission St Unit 111	2019-09-25	2019-09-25	Via Vai By Acquolina
2948 Folsom St	2019-10-09	2019-10-09	Bay Harvest Catering
221 Main St Ste 2	2019-07-15	2019-07-15	Spreadz Deli LLC
1994 37th Ave	2019-03-12	2022-01-21	Sowlbowls
227 Front St	2017-08-25	2017-08-25	Bluestone Lane
2505 3rd St	2017-09-06	2019-04-04	New Belgium Brewing
2101 21st Ave	2017-06-26	2017-06-26	Uncle Joe
741 Anderson St St	2018-07-26	2018-07-26	Juice E Juice
567 Liberty Street	2016-08-15	2016-08-15	Steep Hill Foods
58 Bertha Ln	2019-03-01	2019-03-01	Rome's Kitchen
700 Clement St	2018-04-16	2018-04-16	Venus Cafe
103 Horne Ave	2016-09-21	2017-11-01	Barranco Catering
333 Brannan St	2016-03-01	2016-03-01	Rooh
1412 Eddington Lane	2017-05-01	2017-05-01	Alley Pizza And Kabobs
2948 Folsom St	2017-07-07	2017-07-07	Butter Brown Bakehouse
Charter Oak Ave	2017-10-30	2020-08-11	Pollo Campero
600 Fell St Apt 403	2018-09-07	2018-09-07	Peanut Gallery
5909 Geary Blvd	2018-10-05	2023-06-27	Saltwater Bakeshop
900 North Point St K201	2018-07-30	2018-07-30	The Cheese School
3520 20th St Ste 1	2017-07-17	2017-07-17	Candi Me
73 Diamond St	2016-10-09	2016-10-09	Diamondkantine
115 Chianti Pl	2019-01-07	2019-01-07	Urban Organics, LLC
1980 Union Street	2019-08-16	2019-08-16	Dimensions
1468 Hyde St	2017-03-14	2017-03-14	Hot Sauce And Panko
888 Innes Ave	2019-03-21	2019-03-21	Cafe Alma
298 Munich St	2019-03-14	2019-03-14	Mclaren Park Cafe
1328 18th St	2019-05-17	2019-05-17	Illegal Burger
1702 Post St	2018-05-09	2018-05-09	Sanppo Restaurant
1500 S Van Ness Ave Ste 100	2017-01-10	2017-01-10	Rincon Nayarit
2001 Mcallister St Apt 219	2017-02-01	2017-02-01	Sergio Wong Contracting
90 Charter Oak Ave K1	2017-01-13	2020-07-01	Yosoyceviche LLC
182 Cayuga Ave	2017-06-19	2017-06-19	Toasty
100 Green St	2019-03-22	2019-03-22	Bunn Mike Inc
1 The Embarcadero Ave	2019-04-01	2019-04-01	Something Better Foods
3251 Peirce St	2018-07-03	2018-07-03	Poke Reese
1 Bush St	2017-06-06	2017-06-06	Fullskoop Inc
4605 Geary Blvd	2017-04-25	2017-04-25	Gourmand
900 E 143rd St	2018-12-19	2018-12-19	Dat' Ole Louisiana Boy
173 Wenatchee Common	2019-10-29	2019-10-29	Ox & Tiger Partners
167 11th St	2018-07-24	2018-07-25	Picon
2169 Mission St	2018-08-14	2018-08-14	El Arepazo SF
398 Geary St Bldg	2017-10-16	2017-10-16	Benjamin Cooper
The Embarcadero Ste 100	2017-09-14	2017-09-14	Queen's Louisiana Po-Boy Cafe, LLC
522 Jones St	2017-07-01	2017-07-01	Red Chilli
Ferry Building Ste 50	2016-09-12	2016-09-12	Lovabowl
640 Turk St Apt 26	2019-10-28	2019-10-28	Le Moon Thai Eatery
1720 Polk St	2019-04-15	2023-11-01	Bob's Donuts On Polk
1325 Ocean Ave	2018-08-08	2018-08-08	Chase Luck Bakery
900 Folsom St Unit A	2017-02-20	2017-02-20	Les Gourmands Bakery
699 Columbus Ave	2019-06-05	2019-08-22	Kefir Lab
55 Division St	2018-09-12	2018-09-12	Udon Time
1500 S. Van Ness Ave Ste 100	2019-09-23	2019-09-23	Tacos El Patron
1215 4th St	2019-09-13	2022-02-16	Insomnia Cookies
123 Carmel	2018-08-31	2018-08-31	Samba Comfort Food
1707 Powell St	2017-09-22	2017-09-22	Willi's Coffee & Flowers, LLC
12 Blackstone Ln	2019-02-28	2019-02-27	Dba Farley's Cafe
700 Post St	2019-07-01	2019-07-01	Beyond Burma
4054 24th St	2016-01-13	2020-05-05	The Valley Tavern
1020 Market St	2017-08-07	2017-08-07	Dosa Allee
432 Octavia St	2017-06-01	2019-12-09	Souvla Catering
324 Divisadero St	2017-09-26	2017-09-26	That's My Jam
2401 Polk St	2017-04-26	2017-04-26	The New Spot On Polk
2018 Green St	2018-02-21	2018-02-21	Alamo Square Cafe
2301 Clement St	2018-01-29	2018-01-29	Violet's
494 Cheney Ave Apt 1	2019-10-16	2019-10-16	Bishulim SF
3459 Mission Street	2018-07-01	2018-07-01	Nenas Restaurant
500 N Treasure Island St	2019-01-21	2019-01-31	Dream Ice Cream Parlor
475 6th St Ste K12	2019-04-15	2019-04-19	The Chicken Lab
3128 16th St	2016-02-24	2016-09-30	Katea
1522 Fillmore St	2016-10-20	2016-10-20	Tea Key Ta Ca
865 Market St Ste 497	2018-01-01	2018-03-01	Cocosueno
2505 3rd Street	2017-09-06	2017-09-06	Magnolia Brewing Company
90 Charter Oak Avenue	2018-07-30	2020-10-23	Momo Noodle
133 6th St	2018-12-19	2018-12-19	Falafelland
601 Brickell Key Dr Ste 1000	2019-06-26	2019-08-28	Vessel Ca Operations (#4)
613 York St	2020-01-01	2020-01-01	Merchant Roots Annex
777 S Figueroa St Ste 4100	2019-01-07	2019-01-07	Kitchen Concept LLC
555 4th St Apt 841	2016-10-18	2016-10-18	Avi's Healthytreats
2109 Chestnut St	2016-06-01	2016-06-01	Susiecakes Holdings Inc
82 14th St	2019-07-01	2019-07-01	Toriman
1661 Tennessee St Ste 2k	2018-06-07	2023-11-01	The Cupboard
3245 Judah St	2018-06-01	2018-06-01	Caviar Fix
834 Divisadero St	2017-08-15	2017-08-15	Che Fico Alimentari
601 Mission Bay N. Blvd	2018-11-05	2018-11-05	Wicked Star
321 W Portal Ave Ste A	2018-07-09	2018-07-18	L'amour De Saigon
5130 Mission St	2017-03-01	2019-03-04	Geneva Steak House
235 Montgomery St Ste 600	2016-12-16	2017-09-18	Borsch Mobile
2815 Pine St	2019-07-01	2019-07-01	Burgdirect, LLC
1010 16th Street Apt 626	2019-07-10	2019-07-10	Nazanin Rmezani
103 Horne Ave	2019-06-30	2019-07-28	Automat LLC
2327 Mission St	2016-08-26	2016-08-26	Cha Cha Cha
340 O'farrell St	2016-12-29	2016-12-29	The Halal Guys
466 Eddy St	2016-08-17	2016-08-17	Onsen
2030 Lombard St	2018-06-01	2024-06-10	Rendezvous
1318 18th St	2016-10-31	2016-10-31	Blooms Bar
827 Goettingen St	2016-04-01	2016-04-01	Linda Choiyin Ancajima
366 Columbus St	2019-01-01	2019-01-01	Buster's Cheese Steak
Term San Francisco International	2018-10-23	2024-06-19	Pronto
84 Bartlett St	2016-05-27	2018-03-05	Hummus Heaven
1098 Sutter St	2019-01-08	2019-01-08	Yemen Cafe
205 Hugo St	2018-04-11	2018-04-11	Yo Tambien Cantina
3861 24th	2018-01-30	2018-02-09	Roti
1506 N Russell N Ave Apt B	2017-07-10	2017-07-10	Chatz Jr. Burgers
1176 Alemany Blvd	2016-12-01	2016-12-01	Quality Company
990 Nw 166 St	2016-07-07	2016-07-07	Dba Gilly Vending Inc
3251 20th Ave	2018-05-01	2022-08-29	Porchetta Toscana
1007 Anza St	2018-02-11	2018-02-11	Chakraw
3378 18th St	2018-07-11	2018-07-11	Ramenwell
21 Clarence Pl 301	2018-10-05	2018-10-05	Saltwater Bakeshop
415 Mission St	2017-12-27	2019-03-13	Aramark Rfs At Salesforce
562 Sutter St	2018-12-11	2018-12-11	Bluestone Lane
515 Broadway	2019-09-19	2019-09-26	Le Petit Paris 75
660 4th St Ste 328	2018-02-08	2018-02-08	Kc Catering And Events Management
3620 19th St Unit 11	2016-04-01	2016-04-01	Barzotto
431 Columbus Ave	2017-08-30	2018-06-11	Barbara Pinseria & Cocktail Bar
350 Mission St Fl 5/6	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
2948 Folsom St	2018-07-17	2018-07-17	Pinky And Reds
205 Frederick St A	2019-07-08	2019-10-31	Porkie
216 Harvard Rd	2019-02-01	2019-02-01	Amici's East Coast Pizzeria
522 Jones St	2018-06-01	2018-06-01	Red Chilli
135 4th Street Fc7	2019-07-01	2020-12-01	Rolling Thai
1140 Holloway Ave	2017-11-11	2017-11-11	Alfonso Bonilla
2623 San Bruno Ave	2019-03-20	2019-03-20	Ramen House Inc
822 Irving St	2019-07-24	2022-08-30	Inle Burmese Cuisine
5100 3rd St	2016-04-22	2016-04-22	Jj Fish Chicken
38 Teddy Ave	2018-12-19	2019-02-25	Twirl And Dip
2170 Bryant St	2016-02-10	2021-09-01	San Ho Won
1661 Tennessee St	2018-03-01	2021-02-01	Schilling & Co.
700 Polk St	2019-01-10	2019-05-15	Son & Garden @ Farmhouse Kitchen
103 Horne Ave	2017-09-22	2018-04-02	Herb'n Vegan
95 Third St	2017-04-07	2017-04-07	Oren's Hummus Sf1 LLC
3369 Mission St.	2017-01-05	2017-01-05	Ichi Sushi
4238 18th Street	2018-10-09	2018-10-09	Naan N Curry Castro
103 Horne Ave	2019-03-28	2019-06-18	Tiger Dog
1916 Irving St	2016-08-30	2016-01-01	Tpumps Inc
2136 Union ` St	2018-08-17	2020-04-17	Boom Chicka Cow
2071 3rd St	2016-07-16	2016-08-15	The Boba Shop
1518 Irving St	2018-02-06	2018-02-06	Teapenter
138 6th St	2019-03-12	2019-03-12	Sowl Bowls Thai Street Food
77 Jefferson St	2018-06-18	2018-06-18	Fire And Brew
6275 3 Rd St	2018-10-01	2018-10-01	Olivia   Perez
601 Mission Bay N Blvd	2017-10-17	2024-04-12	J & D's Bbq
220 Golden Gate Ave Apt 429	2018-04-10	2018-04-10	Lisa A Cook
882 Sutter St	2018-12-15	2018-12-15	Chisme Cantina
3338 24th St.	2019-09-19	2019-09-19	Beloved Cafe LLC
160 Broadway	2017-09-10	2017-09-10	Subway Sandwiches #53761
2325 Pine St	2018-12-10	2018-12-10	Loving Cup Divisadero
3801 24th St	2018-01-12	2018-01-12	Happy Donuts
151 Warriors Way Ste 105	2018-08-27	2024-08-09	Kayah By Burma Love
24 Willie Mays Pl Promenade Lvl Sec 103	2018-03-09	2018-03-22	95303 C & C Concessions/Portable 103 Lemonade Snack Cart
4010 Lyon Ave	2017-11-08	2017-11-08	Spicy World
103 Horn Avenue Ave Bldg	2017-11-21	2017-12-08	Pampa Bbq
295 Orizaba Ave	2017-08-23	2017-08-23	China Delights
2 Townsend St Apt 1106	2020-01-01	2020-01-01	Food Source Distribution, Inc
2425 Geary Blvd	2019-03-22	2019-03-22	Kaiser Geary Farmers Market
474 3rd Street	2018-05-07	2018-05-07	Hakashi Japanese Sushi Bar & Grill
1419 San Bruno Ave Ave	2018-01-01	2018-01-01	Milkman SF
523 Grand Ave Apt 2	2017-01-26	2017-01-26	Cochinita
845 Market St Unit Fe2	2017-01-05	2017-12-21	Big Fish Little Fish Poke
1541 Sloat Blvd	2018-07-06	2018-07-06	Teaspoon
563 Clay St	2016-12-01	2016-12-01	Mixt Greens
1455 Market St	2016-07-11	2016-07-11	Uber
1382 9th Ave	2016-11-09	2016-11-09	Asian Kitchen & Deli, Inc
829 Geary St	2019-04-11	2019-10-17	Palermo Pizza & Sandwiches
303 Sacramento St	2018-04-01	2018-09-26	The Grubbies
428 11th St	2019-09-06	2020-01-15	Sam Choy's Poke To The Max
900 Bush St Ste C101	2018-02-13	2018-02-13	Izakaya Yoki
145 Jefferson St Ste 400	2018-06-10	2018-06-10	Leftys Ballpark Buffet
103 Horn Ave	2017-08-29	2017-10-02	Snowflake Treats
1428 Polk St	2018-04-20	2018-04-20	Dijon Burger
550 Montgomery St Fl Ground	2016-03-25	2016-03-25	Maison Corbeaux
2974 Arelious Walker Dr	2019-12-19	2019-12-19	The Geez Freeze
1 California St Ste 110	2016-10-24	2023-04-24	W/Rice Republic
4020 24th Street Apt 2	2020-01-01	2020-01-01	Siren Snacks
359 S Van Ness Ave Apt A	2017-09-01	2017-09-01	Coco's Custom Cakes
1890 Bryant St Ste 101	2018-12-19	2020-06-10	Ernest Restaurant / Befr LLC
908 Clement St Unit 908	2016-09-01	2021-11-01	Birrialicious Taqueria
350 Mission St Fl 18/19	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
1661 W Tennessee St W Dr Unit 2k	2019-05-15	2019-06-10	Panicha Inc. /Dba Schilling & Co
4353 24th St	2018-10-01	2018-10-01	Bearphoenix Chocolates
103 Horn Avenue Ave	2018-09-12	2018-09-12	Le French Bliss
394 Glenwood Ave	2017-11-16	2017-11-16	Estayo-Castellucci Hospitality Group
1005 Chester St	2018-07-18	2018-07-18	Ripen Company
956 Ashbury St St	2017-01-01	2017-01-01	Love Bites
94 Alta Vista Way	2017-04-17	2017-04-17	Block's Grilled Cheese
2200 Market St A	2016-05-11	2017-07-06	Botellon
2175 Market St K	2017-10-17	2017-10-17	Bunn Mike
450 Masonic Ave Apt 3	2017-04-27	2017-04-27	The Coffee Movement
347 Gonzalez Dr	2019-08-12	2019-08-12	Paul G. Kopf
200 Pine St	2017-09-13	2017-09-13	Chez Beesen
1125 Stockton St	2019-10-01	2019-10-01	New Wing Sing Bakery
5601 Geary Blvd	2019-02-11	2019-02-11	Yum Yum Snacks
555 California St Concours	2018-01-01	2018-01-01	Poke Bar
438 Tehama St B	2016-03-14	2016-03-14	Noman Coffee Co
4753 Mission St	2017-03-23	2022-05-01	Rocks Den
1248 9th Ave	2017-09-08	2018-10-31	Pye
917 Folsom St	2017-10-30	2017-11-20	Pine Tar Grill And Bar
515 Broadway	2019-09-19	2019-09-19	Le Petit Paris 75
1358 9th Ave	2017-09-25	2017-09-25	Kogi Gogi, Inc
2317 Chestnut Street	2017-03-23	2017-03-23	Wiki Wiki
1750 Cesar Chavez	2019-06-26	2021-03-22	Reef Kitchens
425 Ellis St	2018-06-13	2018-06-13	New Tikka Masala
1254 Hyde St	2017-02-01	2017-02-01	Mudo
400 Waller St	2019-01-10	2020-08-14	Farmhouse Express
1400 Jackson St	2017-07-03	2017-07-03	Sun Kwong Restaurant
2948 Folsom St	2016-09-12	2016-09-12	Oyna Natural Foods
535 Scott St Bldg	2019-07-03	2019-07-03	Lucinda's Deli And More
244 Clement St	2018-10-05	2021-01-01	Saltwater Bakeshop
2660 Mason St	2019-12-02	2019-12-02	Pier 39 Krispy Krunchy Chicken
103 Horne Ave	2018-08-13	2019-05-31	Eclectic Cookery
347 Presidio Ave	2016-04-18	2016-04-18	Garibaldis On Presidio
409 Bryant St	2017-06-07	2017-06-28	Susiecakes Cake Kitchen
1515 Fillmore St	2016-03-03	2017-09-01	I'a Poke
780 S Airport Blvd Blvd # Termin	2019-04-19	2022-10-14	Pronto
613 York St	2016-03-14	2017-12-04	Merchant Roots
735 3rd St	2019-06-01	2019-06-01	Ea Cafe
333 Lake St	2016-04-15	2016-04-15	Gourmannica
294 IVy St	2019-12-02	2019-12-02	Ebb & Flow
1455 Market St	2017-07-03	2017-07-03	Uber Independent Contracter
667 Commercial St	2019-05-15	2021-11-01	Schilling & Co.
2901 Sacramento St	2016-03-25	2016-12-28	Maison Corbeaux
1946 Fillmore St	2019-05-29	2019-05-29	Glaze Teriyaki
1463 Chestnut St	2019-05-06	2019-05-06	Zachary En'wezoh
139 Ankeny St	2016-11-07	2016-11-07	Doordash
2408 Clement St	2018-02-01	2018-02-01	Taste Of Fusion Kitchen
171 2nd St	2016-10-11	2016-10-11	Sweetgreen La LLC
West Lane 4h	2019-01-21	2019-01-21	Dream Ice Cream Parlor
601 S. Van Ness Bldg	2019-09-23	2020-06-10	Tamales El Patron
103 Horne Ave	2018-02-26	2018-02-26	Refined Simplicity LLC
3251 20th Ave 250a	2017-05-23	2017-05-23	Poke Bowl
103 Horne Ave	2016-04-04	2017-07-26	Word On The Street
3560 18th St	2018-11-07	2019-06-20	Dear Inga
631 O'farrell St	2020-01-01	2020-01-01	Dong Baek Restaurant
3200 California St	2019-10-23	2019-10-23	Bean Sprouts, LLC
708 Vallejo St	2018-07-01	2018-07-01	Pho Vung Tau
3730 Haig St Apt 3	2019-05-28	2019-05-28	Turontastic
173 Eddy St	2018-06-01	2018-06-12	Palace Of Spices
601 N Mission Bay Blvd	2017-07-01	2017-07-01	Doughp
35 Goettingen St	2019-03-20	2019-03-20	Junebugz Banana Club
406 Clement St	2019-06-01	2019-06-01	Eat415
225 Bush St	2018-09-18	2018-09-18	Bluestone Lane
3rd St	2018-07-17	2018-07-17	Word A Cafe
392 Miriam Street	2016-01-02	2016-01-02	Postmates
3170 16th Street	2016-12-05	2016-12-05	Big Lantern
673 Portola Dr	2019-12-31	2019-12-31	Creighton's Fine Pastries LLC
103 Horne Ave	2017-10-12	2018-09-14	Wafflewerks
2801 California St	2019-06-13	2019-06-13	Routier
364 Page St Apt 2	2016-05-20	2016-05-20	Angel Brigadeiro
322 Kearny St	2017-07-01	2017-09-01	The Sini
601 N Mission Bay N Blvd	2019-07-26	2020-02-04	Spark
12 Tenth St	2019-04-22	2019-05-13	Simplexitea
1333 Columbus Ave	2016-03-07	2016-03-07	Fiddler's Green Of SF
450 Jones St Apt 308	2019-08-28	2019-08-28	Kavya Indian And Nepalese Street Food
1791 Pine St Apt 4	2016-05-01	2016-05-01	Anja Lee Catering
100 Larkin St	2016-06-08	2017-07-17	Poets Cafe
98 Leland Ave	2018-01-25	2018-01-25	San Marcos Restaurante
1750 Cesar Chavez Unit E	2018-07-18	2018-08-14	Ripen Company
524 Ramos Ave	2017-12-05	2017-12-05	Los Dos Panzones
3318 Fillmore St	2019-04-28	2022-10-31	Westwood
2077 Hayes St	2019-10-16	2019-10-16	Hayes Pizza
350 Mission St Fl 11/12	2017-12-27	2019-03-14	Aramark Rfs
435 Warren Dr Apt 12	2019-08-01	2019-08-01	Sheet Music Bakery
30 Heath Ct	2016-06-01	2017-06-05	Serendipity SF
771 Ellis St	2018-01-02	2018-01-02	Zen Yai Thai Restaurant
522 Jones St	2018-06-01	2018-06-01	Red Chilli
750 Gonzalez Dr Apt 12m	2017-05-01	2017-05-01	Bomm
1750 Cesar Chavez Suite E	2017-07-03	2018-07-01	Mumsa LLC
3575 San Pablo Dam Road 6	2019-09-08	2019-09-08	Rhandy's Catering Service
Pier 26	2018-06-01	2018-07-01	Angler Sf, LLC
415 Mission St 42 & 43	2017-12-27	2019-11-22	Aramark Rfs At Salesforce
22 Peace Plz Ste 560	2019-07-24	2019-07-24	Umai Ramen House LLC
55 Prospect St	2019-03-07	2019-04-23	Bluestone Lane
